year,state,pixel_count,sum_mapped_evi,density
2002,MT,12017,-53444.0,-0.06842101894111548
2002,NC,2372,68563.0,0.4446945129069918
2002,ND,5928,65786.0,0.17073082113567944
2002,NE,5132,21970.0,0.06586126266562743
2002,NH,686,26553.0,0.5954922628392016
2002,NJ,355,8742.0,0.37885157096424704
2002,NM,6776,-167412.0,-0.38010171646535285
2002,NV,7080,-232248.0,-0.5046675358539765
2002,NY,3417,132280.0,0.5955741653722338
2002,OH,2729,85661.0,0.4829100544014432
2002,OK,4011,54976.0,0.2108662715992559
2002,OR,7164,-32395.0,-0.06956792509556328
2002,PA,3061,112724.0,0.5665519061141406
2002,RI,55,1835.0,0.5132867132867133
2002,SC,1536,37832.0,0.37892628205128204
2002,SD,5959,-9537.0,-0.02462209715104496
2002,TN,2693,97233.0,0.5554743066068725
2002,TX,13753,9867.0,0.01103759179815313
2002,UT,5380,-138002.0,-0.3946296825850729
2002,VA,2482,86592.0,0.5367383623628588
2002,VT,809,32377.0,0.6157079014928212
2002,WA,5770,46181.0,0.12313291561125184
2002,WI,4439,151163.0,0.5238983138960611
2002,WV,1737,76109.0,0.6740976927505425
2002,WY,7061,-134605.0,-0.2932794439663155
2003,AL,2398,77042.0,0.49427086674793097
2003,AR,2750,88726.0,0.4963692307692308
2003,AZ,6266,-165504.0,-0.40635419479977414
2003,CA,8332,-71691.0,-0.13237379519184608
2003,CO,6182,-34401.0,-0.0856108304506881
2003,CT,225,7234.0,0.4946324786324786
2003,DE,86,2729.0,0.48819320214669054
2003,FL,1705,26010.0,0.23469433792014438
2003,GA,3119,89099.0,0.4394850420499667
2003,IA,3724,124098.0,0.5126745435016111
2003,ID,5759,-25788.0,-0.0688901652263347
2003,IL,3384,114845.0,0.5221176577559556
2003,IN,2248,76640.0,0.5245004106214071
2003,KS,4757,33505.0,0.10835853236525929
2003,KY,2341,90713.0,0.5961489172937272
2003,LA,1660,40765.0,0.3778035217794254
2003,MA,442,14520.0,0.5053950574312566
2003,MD,503,13235.0,0.4048019574858541
2003,ME,2441,83228.0,0.5245517284845429
2003,MI,4505,120144.0,0.4102928370186972
2003,MN,6595,179756.0,0.4193293287455532
2003,MO,4498,146488.0,0.5010363580394706
2003,MS,2477,77207.0,0.47953169156237385
2003,MT,12020,-58610.0,-0.07501599897606553
2003,NC,2395,73490.0,0.472073229484503
